"Naics code
Code Scian",Description_English,"Year
Année"
3314,Non-Ferrous Metal (except Aluminum) Production and Processing,2014
3315,Foundries,2014
3321,Forging and Stamping,2014
3322,Cutlery and Hand Tool Manufacturing,2014
3323,Architectural and Structural Metals Manufacturing,2014
3324,"Boiler, Tank and Shipping Container Manufacturing",2014
3325,Hardware Manufacturing,2014
3326,Spring and Wire Product Manufacturing,2014
3327,"Machine Shops, Turned Product, and Screw, Nut and Bolt Manufacturing",2014
3328,"Coating, Engraving, Heat Treating and Allied Activities",2014
3329,Other Fabricated Metal Product Manufacturing,2014
3331,"Agricultural, Construction and Mining Machinery Manufacturing",2014
3332,Industrial Machinery Manufacturing,2014
3333,Commercial and Service Industry Machinery Manufacturing,2014
3334,"Ventilation, Heating, Air-Conditioning and Commercial Refrigeration Equipment Manufacturing",2014
3335,Metalworking Machinery Manufacturing,2014
3336,"Engine, Turbine and Power Transmission Equipment Manufacturing",2014
3339,Other General-Purpose Machinery Manufacturing,2014
3341,Computer and Peripheral Equipment Manufacturing,2014
3342,Communications Equipment Manufacturing,2014
3343,Audio and Video Equipment Manufacturing,2014
3344,Semiconductor and Other Electronic Component Manufacturing,2014
3345,"Navigational, Measuring, Medical and Control Instruments Manufacturing",2014
3346,Manufacturing and Reproducing Magnetic and Optical Media,2014
3351,Electric Lighting Equipment Manufacturing,2014
3352,Household Appliance Manufacturing,2014
3353,Electrical Equipment Manufacturing,2014
3359,Other Electrical Equipment and Component Manufacturing,2014
3361,Motor Vehicle Manufacturing,2014
3362,Motor Vehicle Body and Trailer Manufacturing,2014
3363,Motor Vehicle Parts Manufacturing,2014
3364,Aerospace Product and Parts Manufacturing,2014
3365,Railroad Rolling Stock Manufacturing,2014
3366,Ship and Boat Building,2014
3369,Other Transportation Equipment Manufacturing,2014
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,2014
3372,Office Furniture (including Fixtures) Manufacturing,2014
3379,Other Furniture-Related Product Manufacturing,2014
3391,Medical Equipment and Supplies Manufacturing,2014
3399,Other Miscellaneous Manufacturing,2014
4111,Farm Product Wholesaler-Distributors,2014
4121,Petroleum Product Wholesaler-Distributors,2014
4131,Food Wholesaler-Distributors,2014
4132,Beverage Wholesaler-Distributors,2014
4133,Cigarette and Tobacco Product Wholesaler-Distributors,2014
4141,"Textile, Clothing and Footwear Wholesaler-Distributors",2014
4142,Home Entertainment Equipment and Household Appliance Wholesaler-Distributors,2014
4143,Home Furnishings Wholesaler-Distributors,2014
4144,Personal Goods Wholesaler-Distributors,2014
4145,"Pharmaceuticals, Toiletries, Cosmetics and Sundries Wholesaler-Distributors",2014
4151,Motor Vehicle Wholesaler-Distributors,2014
4152,New Motor Vehicle Parts and Accessories Wholesaler-Distributors,2014
4153,Used Motor Vehicle Parts and Accessories Wholesaler-Distributors,2014
4161,"Electrical, Plumbing, Heating and Air-Conditioning Equipment and Supplies Wholesaler-Distributors",2014
4162,Metal Service Centres,2014
4163,"Lumber, Millwork, Hardware and Other Building Supplies Wholesaler-Distributors",2014
4171,"Farm, Lawn and Garden Machinery and Equipment Wholesaler-Distributors",2014
4172,"Construction, Forestry, Mining, and Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",2014
4173,Computer and Communications Equipment and Supplies Wholesaler-Distributors,2014
4179,"Other Machinery, Equipment and Supplies Wholesaler-Distributors",2014
4181,Recyclable Material Wholesaler-Distributors,2014
4182,"Paper, Paper Product and Disposable Plastic Product Wholesaler-Distributors",2014
4183,Agricultural Supplies Wholesaler-Distributors,2014
4184,Chemical (except Agricultural) and Allied Product Wholesaler-Distributors,2014
4189,Other Miscellaneous Wholesaler-Distributors,2014
4191,"Wholesale Electronic Markets, and Agents and Brokers",2014
4411,Automobile Dealers,2014
4412,Other Motor Vehicle Dealers,2014
4413,"Automotive Parts, Accessories and Tire Stores",2014
4421,Furniture Stores,2014
4422,Home Furnishings Stores,2014
4431,Electronics and Appliance Stores,2014
4441,Building Material and Supplies Dealers,2014
4442,Lawn and Garden Equipment and Supplies Stores,2014
4451,Grocery Stores,2014
4452,Specialty Food Stores,2014
4453,"Beer, Wine and Liquor Stores",2014
4461,Health and Personal Care Stores,2014
4471,Gasoline Stations,2014
4481,Clothing Stores,2014
4482,Shoe Stores,2014
4483,"Jewellery, Luggage and Leather Goods Stores",2014
4511,"Sporting Goods, Hobby and Musical Instrument Stores",2014
4512,"Book, Periodical and Music Stores",2014
4513,Book stores and news dealers,2014
4521,Department Stores,2014
4529,Other General Merchandise Stores,2014
4531,Florists,2014
4532,"Office Supplies, Stationery and Gift Stores",2014
4533,Used Merchandise Stores,2014
4539,Other Miscellaneous Store Retailers,2014
4541,Electronic Shopping and Mail-Order Houses,2014
4542,Vending Machine Operators,2014
4543,Direct Selling Establishments,2014
4811,Scheduled Air Transportation,2014
4812,Non-Scheduled Air Transportation,2014
4821,Rail Transportation,2014
4831,"Deep Sea, Coastal and Great Lakes Water Transportation",2014
4832,Inland Water Transportation,2014
4841,General Freight Trucking,2014
4842,Specialized Freight Trucking,2014
4851,Urban Transit Systems,2014
4852,Interurban and Rural Bus Transportation,2014
4853,Taxi and Limousine Service,2014
4854,School and Employee Bus Transportation,2014
4855,Charter Bus Industry,2014
4859,Other Transit and Ground Passenger Transportation,2014
4861,Pipeline Transportation of Crude Oil,2014
4862,Pipeline Transportation of Natural Gas,2014
4869,Other Pipeline Transportation,2014
4871,"Scenic and Sightseeing Transportation, Land",2014
4872,"Scenic and Sightseeing Transportation, Water",2014
4879,"Scenic and Sightseeing Transportation, Other",2014
4881,Support Activities for Air Transportation,2014
4882,Support Activities for Rail Transportation,2014
4883,Support Activities for Water Transportation,2014
4884,Support Activities for Road Transportation,2014
4885,Freight Transportation Arrangement,2014
4889,Other Support Activities for Transportation,2014
4911,Postal Service,2014
4921,Couriers,2014
4922,Local Messengers and Local Delivery,2014
4931,Warehousing and Storage,2014
5111,"Newspaper, Periodical, Book and Directory Publishers",2014
5112,Software Publishers,2014
5121,Motion Picture and Video Industries,2014
5122,Sound Recording Industries,2014
5151,Radio and Television Broadcasting,2014
5152,Pay and Specialty Television,2014
5171,Wired Telecommunications Carriers,2014
5172,Wireless Telecommunications Carriers (except Satellite),2014
5174,Satellite Telecommunications,2014
5179,Other Telecommunications,2014
5182,"Data Processing, Hosting, and Related Services",2014
5191,Other Information Services,2014
5311,Lessors of Real Estate,2014
5312,Offices of Real Estate Agents and Brokers,2014
5313,Activities Related to Real Estate,2014
5321,Automotive Equipment Rental and Leasing,2014
5322,Consumer Goods Rental,2014
5323,General Rental Centres,2014
5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,2014
5331,Lessors of Non-Financial Intangible Assets (Except Copyrighted Works),2014
5411,Legal Services,2014
5412,"Accounting, Tax Preparation, Bookkeeping and Payroll Services",2014
5413,"Architectural, Engineering and Related Services",2014
5414,Specialized Design Services,2014
5415,Computer Systems Design and Related Services,2014
5416,"Management, Scientific and Technical Consulting Services",2014
5417,Scientific Research and Development Services,2014
5418,"Advertising, Public Relations, and Related Services",2014
5419,"Other Professional, Scientific and Technical Services",2014
5511,Management of Companies and Enterprises,2014
5611,Office Administrative Services,2014
5612,Facilities Support Services,2014
5613,Employment Services,2014
5614,Business Support Services,2014
5615,Travel Arrangement and Reservation Services,2014
5616,Investigation and Security Services,2014
5617,Services to Buildings and Dwellings,2014
5619,Other Support Services,2014
5621,Waste Collection,2014
5622,Waste Treatment and Disposal,2014
5629,Remediation and Other Waste Management Services,2014
6111,Elementary and Secondary Schools,2014
6112,Community Colleges and C.E.G.E.P.s,2014
6113,Universities,2014
6114,Business Schools and Computer and Management Training,2014
6115,Technical and Trade Schools,2014
6116,Other Schools and Instruction,2014
6117,Educational Support Services,2014
6211,Offices of Physicians,2014
6212,Offices of Dentists,2014
6213,Offices of Other Health Practitioners,2014
6214,Out-Patient Care Centres,2014
6215,Medical and Diagnostic Laboratories,2014
6216,Home Health Care Services,2014
6219,Other Ambulatory Health Care Services,2014
6221,General Medical and Surgical Hospitals,2014
6222,Psychiatric and Substance Abuse Hospitals,2014
6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,2014
6231,Nursing Care Facilities,2014
6232,"Residential Developmental Handicap, Mental Health and Substance Abuse Facilities",2014
6233,Community Care Facilities for the Elderly,2014
6239,Other Residential Care Facilities,2014
6241,Individual and Family Services,2014
6242,"Community Food and Housing, and Emergency and Other Relief Services",2014
6243,Vocational Rehabilitation Services,2014
6244,Child Day-Care Services,2014
7111,Performing Arts Companies,2014
7112,Spectator Sports,2014
7113,"Promoters (Presenters) of Performing Arts, Sports and Similar Events",2014
7114,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",2014
7115,"Independent Artists, Writers and Performers",2014
7121,Heritage Institutions,2014
7131,Amusement Parks and Arcades,2014
7132,Gambling Industries,2014
7139,Other Amusement and Recreation Industries,2014
7211,Traveller Accommodation,2014
7212,RV (Recreational Vehicle) Parks and Recreational Camps,2014
7213,Rooming and Boarding Houses,2014
7221,Full-Service Restaurants,2014
7222,Limited-Service Eating Places,2014
7223,Special Food Services,2014
7224,Drinking Places (Alcoholic Beverages),2014
7225,Full-service restaurants and limited-service eating places,2014
8111,Automotive Repair and Maintenance,2014
8112,Electronic and Precision Equipment Repair and Maintenance,2014
8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,2014
8114,Personal and Household Goods Repair and Maintenance,2014
8121,Personal Care Services,2014
8122,Funeral Services,2014
8123,Dry Cleaning and Laundry Services,2014
8129,Other Personal Services,2014
8131,Religious Organizations,2014
8132,Grant-Making and Giving Services,2014
8133,Social Advocacy Organizations,2014
8134,Civic and Social Organizations,2014
8139,"Business, Professional, Labour and Other Membership Organizations",2014
8141,Private Households,2014
11111,Soybean Farming,2014
11112,Oilseed (except Soybean) Farming,2014
11113,Dry Pea and Bean Farming,2014
11114,Wheat Farming,2014
11115,Corn Farming,2014
11116,Rice Farming,2014
11119,Other Grain Farming,2014
11121,Vegetable and Melon Farming,2014
11131,Orange Groves,2014
11132,Citrus (except Orange) Groves,2014
11133,Non-Citrus Fruit and Tree Nut Farming,2014
11141,Food Crops Grown Under Cover,2014
11142,Nursery and Floriculture Production,2014
11191,Tobacco Farming,2014
11192,Cotton Farming,2014
11193,Sugar Cane Farming,2014
11194,Hay Farming,2014
11199,All Other Crop Farming,2014
11211,"Beef Cattle Ranching and Farming, including Feedlots",2014
11212,Dairy Cattle and Milk Production,2014
11221,Hog and Pig Farming,2014
11231,Chicken Egg Production,2014
11232,Broiler and Other Meat-Type Chicken Production,2014
11233,Turkey Production,2014
11234,Poultry Hatcheries,2014
11239,Other Poultry Production,2014
11241,Sheep Farming,2014
11242,Goat Farming,2014
11251,Aquaculture,2014
11291,Apiculture,2014
11292,Horse and Other Equine Production,2014
11293,Fur-Bearing Animal and Rabbit Production,2014
11299,All Other Animal Production,2014
11311,Timber Tract Operations,2014
11321,Forest Nurseries and Gathering of Forest Products,2014
11331,Logging,2014
11411,Fishing,2014
11421,Hunting and Trapping,2014
11511,Support Activities for Crop Production,2014
11521,Support Activities for Animal Production,2014
11531,Support Activities for Forestry,2014
21111,Oil and Gas Extraction,2014
21211,Coal Mining,2014
21221,Iron Ore Mining,2014
21222,Gold and Silver Ore Mining,2014
21223,"Copper, Nickel, Lead and Zinc Ore Mining",2014
21229,Other Metal Ore Mining,2014
21231,Stone Mining and Quarrying,2014
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",2014
21239,Other Non-Metallic Mineral Mining and Quarrying,2014
21311,Support Activities for Mining and Oil and Gas Extraction,2014
22111,Electric Power Generation,2014
22112,"Electric Power Transmission, Control and Distribution",2014
22121,Natural Gas Distribution,2014
22131,Water Supply and Irrigation Systems,2014
22132,Sewage Treatment Facilities,2014
22133,Steam and Air-Conditioning Supply,2014
23611,Residential Building Construction,2014
23621,Industrial Building and Structure Construction,2014
23622,Commercial and Institutional Building Construction,2014
23711,Water and Sewer Line and Related Structures Construction,2014
23712,Oil and Gas Pipeline and Related Structures Construction,2014
23713,Power and Communication Line and Related Structures Construction,2014
23721,Land Subdivision,2014
23731,"Highway, Street and Bridge Construction",2014
23799,Other Heavy and Civil Engineering Construction,2014
23811,Poured Concrete Foundation and Structure Contractors,2014
23812,Structural Steel and Precast Concrete Contractors,2014
23813,Framing Contractors,2014
23814,Masonry Contractors,2014
23815,Glass and Glazing Contractors,2014
23816,Roofing Contractors,2014
23817,Siding Contractors,2014
23819,"Other Foundation, Structure and Building Exterior Contractors",2014
23821,Electrical Contractors and Other Wiring Installation Contractors,2014
23822,"Plumbing, Heating and Air-Conditioning Contractors",2014
23829,Other Building Equipment Contractors,2014
23831,Drywall and Insulation Contractors,2014
23832,Painting and Wall Covering Contractors,2014
23833,Flooring Contractors,2014
23834,Tile and Terrazzo Contractors,2014
23835,Finish Carpentry Contractors,2014
23839,Other Building Finishing Contractors,2014
23891,Site Preparation Contractors,2014
23899,All Other Specialty Trade Contractors,2014
31111,Animal Food Manufacturing,2014
31121,Flour Milling and Malt Manufacturing,2014
31122,Starch and Vegetable Fat and Oil Manufacturing,2014
31123,Breakfast Cereal Manufacturing,2014
31131,Sugar Manufacturing,2014
31132,Chocolate and Confectionery Manufacturing from Cacao Beans,2014
31133,Confectionery Manufacturing from Purchased Chocolate,2014
31134,Non-Chocolate Confectionery Manufacturing,2014
31135,Chocolate and chocolate confectionery manufacturing,2014
31141,Frozen Food Manufacturing,2014
31142,"Fruit and Vegetable Canning, Pickling and Drying",2014
31151,Dairy Product (except Frozen) Manufacturing,2014
31152,Ice Cream and Frozen Dessert Manufacturing,2014
31161,Animal Slaughtering and Processing,2014
31171,Seafood Product Preparation and Packaging,2014
31181,Bread and Bakery Product Manufacturing,2014
31182,"Cookie, Cracker and Pasta Manufacturing",2014
31183,Tortilla Manufacturing,2014
31191,Snack Food Manufacturing,2014
31192,Coffee and Tea Manufacturing,2014
31193,Flavouring Syrup and Concentrate Manufacturing,2014
31194,Seasoning and Dressing Manufacturing,2014
31199,All Other Food Manufacturing,2014
31211,Soft Drink and Ice Manufacturing,2014
31212,Breweries,2014
31213,Wineries,2014
31214,Distilleries,2014
31221,Tobacco Stemming and Redrying,2014
31222,Tobacco Product Manufacturing,2014
31311,"Fibre, Yarn and Thread Mills",2014
31321,Broad-Woven Fabric Mills,2014
31322,Narrow Fabric Mills and Schiffli Machine Embroidery,2014
31323,Nonwoven Fabric Mills,2014
31324,Knit Fabric Mills,2014
31331,Textile and Fabric Finishing,2014
31332,Fabric Coating,2014
31411,Carpet and Rug Mills,2014
31412,Curtain and Linen Mills,2014
31491,Textile Bag and Canvas Mills,2014
31499,All Other Textile Product Mills,2014
31511,Hosiery and Sock Mills,2014
31519,Other Clothing Knitting Mills,2014
31521,Cut and Sew Clothing Contracting,2014
31522,Men's and Boys' Cut and Sew Clothing Manufacturing,2014
31523,Women's and Girls' Cut and Sew Clothing Manufacturing,2014
31524,"Women's, girls' and infants' cut and sew clothing manufacturing",2014
31528,Other cut and sew clothing manufacturing,2014
31529,Other Cut and Sew Clothing Manufacturing,2014
31599,Clothing Accessories and Other Clothing Manufacturing,2014
31611,Leather and Hide Tanning and Finishing,2014
31621,Footwear Manufacturing,2014
31699,Other Leather and Allied Product Manufacturing,2014
32111,Sawmills and Wood Preservation,2014
32121,"Veneer, Plywood and Engineered Wood Product Manufacturing",2014
32191,Millwork,2014
32192,Wood Container and Pallet Manufacturing,2014
32199,All Other Wood Product Manufacturing,2014
32211,Pulp Mills,2014
32212,Paper Mills,2014
32213,Paperboard Mills,2014
32221,Paperboard Container Manufacturing,2014
32222,Paper Bag and Coated and Treated Paper Manufacturing,2014
32223,Stationery Product Manufacturing,2014
32229,Other Converted Paper Product Manufacturing,2014
32311,Printing,2014
32312,Support Activities for Printing,2014
32411,Petroleum Refineries,2014
32412,"Asphalt Paving, Roofing and Saturated Materials Manufacturing",2014
32419,Other Petroleum and Coal Product Manufacturing,2014
32511,Petrochemical Manufacturing,2014
32512,Industrial Gas Manufacturing,2014
32513,Synthetic Dye and Pigment Manufacturing,2014
32518,Other Basic Inorganic Chemical Manufacturing,2014
32519,Other Basic Organic Chemical Manufacturing,2014
32521,Resin and Synthetic Rubber Manufacturing,2014
32522,Artificial and Synthetic Fibres and Filaments Manufacturing,2014
32531,Fertilizer Manufacturing,2014
32532,Pesticide and Other Agricultural Chemical Manufacturing,2014
32541,Pharmaceutical and Medicine Manufacturing,2014
32551,Paint and Coating Manufacturing,2014
32552,Adhesive Manufacturing,2014
32561,Soap and Cleaning Compound Manufacturing,2014
32562,Toilet Preparation Manufacturing,2014
32591,Printing Ink Manufacturing,2014
32592,Explosives Manufacturing,2014
32599,All Other Chemical Product Manufacturing,2014
32611,Plastic Packaging Materials and Unlaminated Film and Sheet Manufacturing,2014
32612,"Plastic Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",2014
32613,"Laminated Plastic Plate, Sheet (except Packaging), and Shape Manufacturing",2014
32614,Polystyrene Foam Product Manufacturing,2014
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,2014
32616,Plastic Bottle Manufacturing,2014
32619,Other Plastic Product Manufacturing,2014
32621,Tire Manufacturing,2014
32622,Rubber and Plastic Hose and Belting Manufacturing,2014
32629,Other Rubber Product Manufacturing,2014
32711,"Pottery, Ceramics and Plumbing Fixture Manufacturing",2014
32712,Clay Building Material and Refractory Manufacturing,2014
32721,Glass and Glass Product Manufacturing,2014
32731,Cement Manufacturing,2014
32732,Ready-Mix Concrete Manufacturing,2014
32733,"Concrete Pipe, Brick and Block Manufacturing",2014
32739,Other Concrete Product Manufacturing,2014
32741,Lime Manufacturing,2014
32742,Gypsum Product Manufacturing,2014
32791,Abrasive Product Manufacturing,2014
32799,All Other Non-Metallic Mineral Product Manufacturing,2014
33111,Iron and Steel Mills and Ferro-Alloy Manufacturing,2014
33121,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,2014
33122,Rolling and Drawing of Purchased Steel,2014
33131,Alumina and Aluminum Production and Processing,2014
33141,Non-Ferrous Metal (except Aluminum) Smelting and Refining,2014
33142,"Copper Rolling, Drawing, Extruding and Alloying",2014
33149,"Non-Ferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding and Alloying",2014
33151,Ferrous Metal Foundries,2014
33152,Non-Ferrous Metal Foundries,2014
33211,Forging and Stamping,2014
33221,Cutlery and Hand Tool Manufacturing,2014
33231,Plate Work and Fabricated Structural Product Manufacturing,2014
33232,Ornamental and Architectural Metal Product Manufacturing,2014
33241,Power Boiler and Heat Exchanger Manufacturing,2014
33242,Metal Tank (Heavy Gauge) Manufacturing,2014
33243,"Metal Can, Box and Other Metal Container (Light Gauge) Manufacturing",2014
33251,Hardware Manufacturing,2014
33261,Spring and Wire Product Manufacturing,2014
33271,Machine Shops,2014
33272,"Turned Product and Screw, Nut and Bolt Manufacturing",2014
33281,"Coating, Engraving, Heat Treating and Allied Activities",2014
33291,Metal Valve Manufacturing,2014
33299,All Other Fabricated Metal Product Manufacturing,2014
33311,Agricultural Implement Manufacturing,2014
33312,Construction Machinery Manufacturing,2014
33313,Mining and Oil and Gas Field Machinery Manufacturing,2014
33321,Sawmill and Woodworking Machinery Manufacturing,2014
33322,Rubber and Plastics Industry Machinery Manufacturing,2014
33324,Industrial machinery manufacturing,2014
33329,Other Industrial Machinery Manufacturing,2014
33331,Commercial and Service Industry Machinery Manufacturing,2014
33341,"Ventilation, Heating, Air-Conditioning and Commercial Refrigeration Equipment Manufacturing",2014
33351,Metalworking Machinery Manufacturing,2014
33361,"Engine, Turbine and Power Transmission Equipment Manufacturing",2014
33391,Pump and Compressor Manufacturing,2014
33392,Material Handling Equipment Manufacturing,2014
33399,All Other General-Purpose Machinery Manufacturing,2014
33411,Computer and Peripheral Equipment Manufacturing,2014
33421,Telephone Apparatus Manufacturing,2014
33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2014
33429,Other Communications Equipment Manufacturing,2014
33431,Audio and Video Equipment Manufacturing,2014
33441,Semiconductor and Other Electronic Component Manufacturing,2014
33451,"Navigational, Measuring, Medical and Control Instruments Manufacturing",2014
